**** Molotov v1.6. Happy breaking! ****
Loading extension 'bzt.resources.molotov_ext'
Preparing 10 workers...
OK
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 0
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 0 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 1 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 2 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 3 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 4 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 4 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 5 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 5 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 5 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 5 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 5 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 5 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 5 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 6 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 7 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 7 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 8 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 8 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 9 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 10 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 10 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 11 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 12 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 12 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 13 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 14 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 15 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 16 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 17 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 17 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 17 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 17 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 18 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 19 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 19 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 20 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 20 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 21 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 22 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 23 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 24 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 25 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 26 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 27 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 29 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 30 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 31 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 32 | FAILURES: 0 | WORKERS: 1
SUCCESSES: 32 | FAILURES: 0 | WORKERS: 1
